"municipiouf";"2013";"2015";"2017"
"Laguna, SC";38;41;45
"Louveira, SP";32;51;45
"Medina, MG";25;35;45
"Nova Canaã, BA";57;36;45
"Paracatu, MG";28;29;45
"Paraguaçu Paulista, SP";13;50;45
"Paraíso do Tocantins, TO";9;18;45
"Pau dos Ferros, RN";NA;NA;45
"Pompéu, MG";14;23;45
"Salto, SP";40;47;45
"Santo Antônio da Patrulha, RS";21;34;45
"São Raimundo das Mangabeiras, MA";NA;NA;45
"Sarandi, PR";31;68;45
"Aparecida do Taboado, MS";21;43;44
"Bananeiras, PB";4;42;44
"Barroso, MG";14;93;44
"Bela Vista, MS";30;39;44
"Belmonte, BA";20;38;44
"Bituruna, PR";17;44;44
"Bom Jardim, MA";9;37;44
"Brejo da Madre de Deus, PE";28;43;44
"Caracaraí, RR";35;36;44
"Cedro, CE";13;38;44
"Curralinho, PA";13;37;44
"Erechim, RS";37;48;44
"Esteio, RS";48;61;44
"Guaíra, SP";16;54;44
"Guaiúba, CE";12;40;44
"Guaratinguetá, SP";60;66;44
"Iguaí, BA";43;42;44
"Iranduba, AM";14;25;44
"Itapiúna, CE";12;72;44
"Jaguarão, RS";19;31;44
"João Câmara, RN";17;35;44
"Marechal Deodoro, AL";7;16;44
"Mateus Leme, MG";15;42;44
"Miracema, RJ";17;48;44
"Piatã, BA";4;30;44
"Pinheiro, MA";39;58;44
"Santa Cruz Cabrália, BA";13;28;44
"São João do Paraíso, MG";23;44;44
"Tangará da Serra, MT";18;34;44
"Tracuateua, PA";31;42;44
"Aimorés, MG";8;14;43
"Alcântara, MA";7;19;43
"Alfenas, MG";22;53;43
"Bom Conselho, PE";10;18;43
"Brumadinho, MG";16;77;43
"Buriti Bravo, MA";21;34;43
"Caçador, SC";30;60;43
"Caicó, RN";24;74;43
"Cantagalo, RJ";18;40;43
"Garça, SP";19;53;43
"Inhambupe, BA";14;22;43
"Jaguaruana, CE";26;23;43
"Marco, CE";16;46;43
"Minaçu, GO";12;81;43
"Nova Serrana, MG";32;35;43
"Passagem Franca, MA";1;15;43
"Propriá, SE";30;29;43
"Salgueiro, PE";22;75;43
"São Benedito, CE";18;37;43
"São João dos Patos, MA";NA;NA;43
"Sena Madureira, AC";11;25;43
"Severínia, SP";11;26;43
"Ulianópolis, PA";32;33;43
"Xinguara, PA";13;76;43
"Anajatuba, MA";5;24;42
"Carira, SE";7;48;42
"Conceição do Coité, BA";14;45;42
"Ferraz de Vasconcelos, SP";30;52;42
"Guaramirim, SC";NA;33;42
"Humberto de Campos, MA";8;37;42
"Ibirajuba, PE";6;10;42
"Imbituba, SC";7;31;42
"Irituia, PA";44;50;42
"Itaí, SP";25;56;42
"Itapaci, GO";20;56;42
"Itapagé, CE";17;33;42
"João Pinheiro, MG";20;54;42
"Ladainha, MG";18;33;42
"Lagoa de Itaenga, PE";NA;NA;42
"Livramento de Nossa Senhora, BA";14;31;42
"Mantena, MG";7;35;42
"Medeiros Neto, BA";19;28;42
"Montanhas, RN";4;21;42
"Monte Alegre, PA";28;45;42
"Oeiras do Pará, PA";4;12;42
"Orlândia, SP";11;24;42
"Prado, BA";18;50;42
"Rio Vermelho, MG";15;22;42
"Tanguá, RJ";41;72;42
"Timbiras, MA";7;30;42
"Uruaçu, GO";15;17;42
"Vargem Grande Paulista, SP";9;46;42
"Água Preta, PE";9;49;41
"Além Paraíba, MG";23;35;41
"Alto Alegre do Maranhão, MA";9;42;41
"Araioses, MA";19;44;41
"Arari, MA";13;30;41
"Bariri, SP";7;13;41
"Boa Esperança, MG";26;37;41
"Brasilândia, MS";31;37;41
"Buritis, RO";10;26;41
"Canguçu, RS";29;46;41
"Capistrano, CE";14;34;41
"Carmo do Paranaíba, MG";33;39;41
"Cerro Azul, PR";23;43;41
"Corbélia, PR";19;39;41
"Corumbaíba, GO";20;28;41
"Duas Barras, RJ";30;32;41
"Guanhães, MG";23;36;41
"Guaratinga, BA";9;41;41
"Ilhabela, SP";18;64;41
"Iporá, GO";23;36;41
"Irupi, ES";10;25;41
"Itamaraju, BA";30;51;41
"Manicoré, AM";3;48;41
"Monsenhor Tabosa, CE";9;32;41
"Nobres, MT";24;32;41
"Nova Russas, CE";13;28;41
"Paracambi, RJ";54;75;41
"Santa Quitéria do Maranhão, MA";NA;29;41
"São Simão, GO";5;12;41
"Senador La Rocque, MA";NA;1;41
"Simões Filho, BA";15;63;41
"Afogados da Ingazeira, PE";10;48;40
"Aldeias Altas, MA";30;53;40
"Arauá, SE";10;30;40
"Bom Despacho, MG";16;33;40
"Bonito, BA";2;21;40
"Cajueiro, AL";21;30;40
"Carpina, PE";47;56;40
"Chã Grande, PE";8;37;40
"Formosa da Serra Negra, MA";22;21;40
"Goianésia do Pará, PA";23;28;40
"Iaçu, BA";22;27;40
"Iconha, ES";33;36;40
"Iguaba Grande, RJ";12;42;40
"Miguel Alves, PI";6;13;40
"Mirandiba, PE";15;46;40
"Pacatuba, SE";3;27;40
"Paraipaba, CE";24;33;40
"Paraúna, GO";3;17;40
"Pedra, PE";7;22;40
"Pindaré-Mirim, MA";NA;NA;40
"Rio Pardo de Minas, MG";19;43;40
"Sapucaia do Sul, RS";59;55;40
"Tupanatinga, PE";6;13;40
"Uauá, BA";20;42;40
"Urbano Santos, MA";NA;43;40
"Verdelândia, MG";26;36;40
"Xexéu, PE";14;38;40
"Água Clara, MS";19;43;39
"Angélica, MS";16;40;39
"Araçuaí, MG";18;29;39
"Camamu, BA";16;58;39
"Canutama, AM";8;22;39
"Cardoso Moreira, RJ";16;48;39
"Carmo, RJ";21;48;39
"Correntina, BA";8;10;39
"Cupira, PE";10;45;39
"Guimarães, MA";6;21;39
"Ibicaraí, BA";25;44;39
"Itambé, PE";7;37;39
"Jacundá, PA";18;42;39
"Malacacheta, MG";11;28;39
"Miracema do Tocantins, TO";7;5;39
"Monte Alegre de Minas, MG";34;31;39
"Mundo Novo, MS";15;37;39
"Navegantes, SC";21;30;39
"Nova Alvorada do Sul, MS";24;53;39
"Ourilândia do Norte, PA";25;48;39
"Parazinho, RN";5;17;39
"Quatis, RJ";17;23;39
"Quixeré, CE";16;15;39
"Roncador, PR";13;36;39
"Santa Inês, MA";18;54;39
"São Jerônimo, RS";18;28;39
"São João do Ivaí, PR";7;38;39
"Tamboril, CE";29;36;39
"Toritama, PE";11;43;39
"Água Azul do Norte, PA";8;22;38
"Águas Formosas, MG";19;55;38
"Amparo, SP";17;36;38
"Araruna, PB";20;27;38
"Balneário Pinhal, RS";29;46;38
"Barra de São Miguel, AL";5;26;38
"Bom Jesus de Goiás, GO";18;44;38
"Brodowski, SP";6;54;38
"Brumado, BA";41;50;38
"Camacan, BA";25;50;38
"Cassilândia, MS";7;27;38
"Cedral, SP";7;33;38
"Coxim, MS";43;47;38
"Ecoporanga, ES";8;27;38
"Guararema, SP";15;26;38
"Ibimirim, PE";7;65;38
"Indiaroba, SE";7;43;38
"Irauçuba, CE";12;32;38
"Itaporanga d'Ajuda, SE";NA;1;38
"Itaqui, RS";17;27;38
"José de Freitas, PI";14;38;38
"Maraú, BA";4;30;38
"Miguel Pereira, RJ";22;28;38
"Miguelópolis, SP";7;38;38
"Morro da Garça, MG";6;32;38
"Ortigueira, PR";17;23;38
"Pastos Bons, MA";6;23;38
"Paty do Alferes, RJ";19;39;38
"Peixoto de Azevedo, MT";15;30;38
"Pentecoste, CE";20;33;38
"Pesqueira, PE";14;47;38
"Picos, PI";11;33;38
"Piranga, MG";7;16;38
"Pirassununga, SP";16;45;38
"Pontes e Lacerda, MT";8;27;38
"Porto da Folha, SE";20;28;38
"Promissão, SP";16;27;38
"Rio Claro, RJ";21;34;38
"Salvaterra, PA";5;28;38
"Santa Cruz, RN";16;40;38
"Santa Luzia do Pará, PA";15;25;38
"São Gabriel, RS";10;38;38
"Sapucaia, RJ";56;62;38
"Sooretama, ES";25;35;38
"Tejupá, SP";8;33;38
"Triunfo, PE";8;25;38
"Turmalina, MG";7;38;38
"Água Branca, PI";7;26;37
"Alexânia, GO";12;32;37
"Amélia Rodrigues, BA";4;16;37
"Anajás, PA";12;17;37
"Barra de Guabiraba, PE";7;31;37
"Barra do Bugres, MT";28;35;37
"Bom Jesus da Lapa, BA";37;38;37
"Cachoeiras de Macacu, RJ";23;24;37
"Cacoal, RO";30;38;37
"Campos Sales, CE";12;64;37
"Cananéia, SP";22;39;37
"Carolina, MA";20;32;37
"Cortês, PE";8;23;37
"Divinópolis do Tocantins, TO";15;19;37
"Domingos Martins, ES";19;38;37
"Fátima, BA";6;12;37
"Hidrolândia, CE";17;45;37
"Ibiapina, CE";17;45;37
"Igreja Nova, AL";24;30;37
"Iperó, SP";8;25;37
"Itaguaçu, ES";15;48;37
"Jaraguá, GO";1;9;37
"Lajes, RN";34;25;37
"Maracás, BA";8;28;37
"Natividade, RJ";42;58;37
"Nova Esperança do Piriá, PA";3;34;37
"Paraíba do Sul, RJ";11;42;37
"Piracuruca, PI";24;26;37
"Piraí, RJ";24;32;37
"Pirenópolis, GO";10;26;37
"Poconé, MT";4;33;37
"Porciúncula, RJ";37;41;37
"Porto Real, RJ";19;44;37
"Rio Largo, AL";23;37;37
"Santa Cruz do Rio Pardo, SP";28;32;37
"São Lourenço do Sul, RS";20;21;37
"São Sebastião do Alto, RJ";18;33;37
"Sumidouro, RJ";27;39;37
"Tietê, SP";14;36;37
"Tocantinópolis, TO";17;23;37
"Tupaciguara, MG";23;33;37
"Uarini, AM";7;30;37
"Ubiratã, PR";11;33;37
"Aparecida, SP";11;27;36
"Apuiarés, CE";28;34;36
"Aquidabã, SE";23;51;36
"Araquari, SC";17;26;36
"Arcos, MG";13;38;36
"Barro, CE";14;34;36
"Bequimão, MA";7;27;36
"Cachoeira do Piriá, PA";9;24;36
"Campinorte, GO";16;24;36
"Cândido Mota, SP";23;34;36
"Chopinzinho, PR";15;25;36
"Colônia Leopoldina, AL";9;29;36
"Coronel Sapucaia, MS";19;29;36
"Cristalina, GO";10;36;36
"Delmiro Gouveia, AL";11;27;36
"Dionísio Cerqueira, SC";12;29;36
"Jacarezinho, PR";3;18;36
"Jales, SP";27;37;36
"Jupi, PE";5;13;36
"Limoeiro do Ajuru, PA";18;27;36
"Marau, RS";22;32;36
"Matinha, MA";9;25;36
"Medicilândia, PA";14;25;36
"Monte Aprazível, SP";17;27;36
"Monte Azul, MG";30;39;36
"Não-Me-Toque, RS";NA;4;36
"Nova Soure, BA";26;26;36
"Oeiras, PI";17;34;36
"Pedra Azul, MG";5;41;36
"Peritoró, MA";5;11;36
"Pinheiral, RJ";26;35;36
"Pirambu, SE";6;33;36
"Pontal do Paraná, PR";20;27;36
"Santa Maria da Vitória, BA";19;44;36
"Santo Antônio de Pádua, RJ";15;44;36
"Santo Antônio do Descoberto, GO";3;22;36
"São Joaquim do Monte, PE";6;30;36
"São Mateus do Sul, PR";23;33;36
"São Miguel do Iguaçu, PR";20;52;36
"Sertânia, PE";7;26;36
"Tarumã, SP";19;36;36
"Tramandaí, RS";15;28;36
"Vazante, MG";11;21;36
"Wenceslau Braz, PR";10;42;36
"Wenceslau Guimarães, BA";11;36;36
"Acreúna, GO";7;22;35
"Capivari, SP";9;31;35
"Centro Novo do Maranhão, MA";18;34;35
"Elesbão Veloso, PI";25;30;35
"Estrela, RS";40;42;35
"Governador Nunes Freire, MA";4;21;35
"Itapoá, SC";11;26;35
"Jaguariúna, SP";7;28;35
"João Alfredo, PE";4;16;35
"Lajedo, PE";5;40;35
"Lapa, PR";21;64;35
"Mirante do Paranapanema, SP";NA;NA;35
"Mucuri, BA";15;41;35
"Ninheira, MG";9;23;35
"Novo Aripuanã, AM";2;22;35
"Novo Cruzeiro, MG";69;49;35
"Palmeirândia, MA";16;43;35
"Prainha, PA";19;29;35
"Quiterianópolis, CE";17;39;35
"Santa Maria da Boa Vista, PE";12;50;35
"Santa Rosa de Viterbo, SP";16;22;35
"Santo Amaro da Imperatriz, SC";6;19;35
"São Sebastião, AL";4;23;35
"Serranópolis, GO";3;17;35
"Tacaratu, PE";9;20;35
"Taquarana, AL";10;27;35
"Torres, RS";13;45;35
"União da Vitória, PR";17;37;35
"Adamantina, SP";8;23;34
"Aiuaba, CE";NA;41;34
"Anastácio, MS";10;31;34
"Areia Branca, RN";14;23;34
"Breu Branco, PA";23;39;34
"Cachoeira Alta, GO";23;41;34
"Caieiras, SP";22;18;34
"Cordeirópolis, SP";26;31;34
"Dom Pedro, MA";5;46;34
"Feliz Natal, MT";21;24;34
"Flores, PE";9;21;34
"Floresta do Araguaia, PA";31;37;34
"Independência, CE";NA;40;34
"Ipiaú, BA";19;33;34
"Itabirito, MG";13;22;34
"Iturama, MG";34;40;34
"Ivinhema, MS";27;32;34
"Jacareacanga, PA";14;34;34
"Lagoa da Prata, MG";20;31;34
"Maruim, SE";27;33;34
"Morrinhos, CE";23;50;34
"Morro Agudo de Goiás, GO";3;10;34
"Muaná, PA";25;24;34
"Mundo Novo, BA";11;26;34
"Natuba, PB";6;33;34
"Nísia Floresta, RN";10;34;34
"Nova Crixás, GO";6;15;34
"Nova Mamoré, RO";33;26;34
"Ouro Preto do Oeste, RO";23;25;34
"Padre Paraíso, MG";13;19;34
"Paramirim, BA";8;16;34
"Pedro Leopoldo, MG";22;26;34
"Piancó, PB";16;27;34
"Piracaia, SP";39;46;34
"Pitimbu, PB";10;29;34
"Plácido de Castro, AC";9;24;34
"Pontal, SP";11;24;34
"Quedas do Iguaçu, PR";16;21;34
"Redenção, CE";16;38;34
"Rio das Flores, RJ";NA;6;34
"Rio Pardo, RS";23;19;34
"Rosário Oeste, MT";15;33;34
"Santa Vitória do Palmar, RS";40;38;34
"Solonópole, CE";17;28;34
"Sousa, PB";20;40;34
"Tenente Portela, RS";20;36;34
"Teofilândia, BA";7;34;34
"Terra Boa, PR";12;32;34
"Uiraúna, PB";8;28;34
"Uruburetama, CE";2;20;34
"Urupês, SP";10;7;34
"Vila Nova dos Martírios, MA";NA;NA;34
"Abadiânia, GO";14;19;33
"Abaiara, CE";10;42;33
"Águas Belas, PE";14;32;33
"Andaraí, BA";7;11;33
"Antônio João, MS";14;40;33
"Aragoiânia, GO";5;3;33
"Arealva, SP";5;12;33
"Barreiros, PE";16;32;33
"Bataguassu, MS";12;19;33
"Batalha, AL";11;28;33
"Bom Jesus, RS";19;27;33
"Bonfinópolis, GO";10;20;33
"Borba, AM";12;37;33
"Bujaru, PA";17;26;33
"Buritizeiro, MG";10;21;33
"Campo Alegre de Lourdes, BA";5;28;33
"Campo Maior, PI";19;48;33
"Campos Verdes, GO";6;18;33
"Carinhanha, BA";36;33;33
"Dianópolis, TO";20;33;33
"Divino, MG";10;28;33
"Encruzilhada do Sul, RS";23;43;33
"Flexeiras, AL";9;28;33
"Giruá, RS";13;23;33
"Ibitinga, SP";15;33;33
"Itabaianinha, SE";12;41;33
"Itatira, CE";17;34;33
"Jardim Alegre, PR";12;15;33
"Jardim, MS";10;24;33
"Ji-Paraná, RO";NA;10;33
"Lapão, BA";11;24;33
"Manari, PE";6;29;33
"Maraial, PE";9;22;33
"Martinópole, CE";12;17;33
"Osório, RS";30;39;33
"Palmeira das Missões, RS";NA;18;33
"Palotina, PR";19;31;33
"Paranatinga, MT";9;25;33
"Pimenta Bueno, RO";24;37;33
"Placas, PA";13;47;33
"Poção, PE";5;33;33
"Rio do Fogo, RN";5;29;33
"Rio Paranaíba, MG";23;51;33
"Santa Terezinha, PE";4;28;33
"Santos Dumont, MG";16;35;33
"São Benedito do Rio Preto, MA";4;19;33
"São José do Rio Pardo, SP";8;41;33
"São Mateus do Maranhão, MA";12;37;33
"Seabra, BA";14;18;33
"Serra do Ramalho, BA";23;30;33
"Sete Barras, SP";5;30;33
"Solânea, PB";26;30;33
"Tanhaçu, BA";12;19;33
"Turiaçu, MA";11;39;33
"Uruana, GO";21;32;33
"Valparaíso, SP";17;31;33
"Abelardo Luz, SC";12;32;32
"Afuá, PA";22;30;32
"Amargosa, BA";8;28;32
"Anapurus, MA";11;15;32
"Aperibé, RJ";13;33;32
"Araguatins, TO";22;27;32
"Arraial do Cabo, RJ";14;24;32
"Bonito, PE";13;35;32
"Brusque, SC";17;38;32
"Buritizal, SP";6;12;32
"Cambará, PR";8;23;32
"Campo do Brito, SE";10;26;32
"Canavieiras, BA";5;30;32
"Carauari, AM";24;45;32
"Castelo, ES";29;28;32
"Charqueadas, RS";14;30;32
"Conchal, SP";5;29;32
"Cornélio Procópio, PR";17;28;32
"Cruz, CE";9;20;32
"Curionópolis, PA";19;22;32
"Curuá, PA";26;32;32
"Ervália, MG";13;32;32
"Fartura, SP";5;32;32
"Franciscópolis, MG";3;31;32
"Guariba, SP";10;25;32
"Itaporã, MS";16;16;32
"Joaquim Gomes, AL";9;16;32
"Joaquim Nabuco, PE";9;22;32
"Lucas do Rio Verde, MT";15;33;32
"Macaúbas, BA";23;29;32
"Mandaguari, PR";8;31;32
"Miracatu, SP";16;18;32
"Morro Agudo, SP";13;26;32
"Murici, AL";9;28;32
"Paulistana, PI";17;25;32
"Perdões, MG";22;28;32
"Petrolândia, PE";6;52;32
"Piranhas, AL";8;50;32
"Piranhas, GO";3;36;32
"Piumhi, MG";10;36;32
"Poço de José de Moura, PB";6;27;32
"Pontalina, GO";4;19;32
"Porto Calvo, AL";2;24;32
"Ribeirão, PE";15;46;32
"Rio Azul, PR";10;27;32
"Sanharó, PE";15;29;32
"Santa Rosa de Lima, SE";11;28;32
"São Bento, PB";7;17;32
"São Bernardo, MA";6;59;32
"São Domingos do Araguaia, PA";10;20;32
"São Gabriel da Palha, ES";23;24;32
"São José do Belmonte, PE";10;30;32
"São Miguel de Taipu, PB";10;25;32
"São Miguel do Tapuio, PI";18;24;32
"Sarzedo, MG";26;36;32
"Senador Pompeu, CE";16;21;32
"Simões, PI";21;28;32
"Taperoá, PB";8;29;32
"Trizidela do Vale, MA";13;25;32
"Una, BA";27;43;32
"Uruoca, CE";19;22;32
"Valença do Piauí, PI";10;25;32
"Aliança, PE";10;29;31
"Alto Horizonte, GO";4;28;31
"Amambai, MS";NA;8;31
"Anamã, AM";11;19;31
"Aurora, CE";21;34;31
"Boa Vista do Ramos, AM";8;21;31
"Buíque, PE";13;43;31
"Caaporã, PB";6;17;31
"Campo Magro, PR";9;34;31
"Canudos, BA";3;23;31
"Carambeí, PR";13;32;31
"Casa Nova, BA";14;34;31
"Claro dos Poções, MG";NA;NA;31
"Cordeiro, RJ";28;37;31
"Dormentes, PE";10;17;31
"Emas, PB";16;27;31
"Farroupilha, RS";11;32;31
"Forquilha, CE";9;17;31
"Gandu, BA";18;38;31
"Gramado, RS";32;36;31
"Guaraí, TO";14;33;31
"Gurinhém, PB";5;29;31
"Ibotirama, BA";4;36;31
"Itapirapuã, GO";10;36;31
"Itaporanga, PB";9;16;31
"Itarana, ES";14;34;31
"Jucurutu, RN";9;26;31
"Lajeado, RS";24;35;31
"Maragogi, AL";38;48;31
"Melgaço, PA";17;31;31
"Miranorte, TO";26;27;31
"Moita Bonita, SE";26;32;31
"Novo Gama, GO";14;24;31
"Olho d'Água das Cunhãs, MA";NA;NA;31
"Pederneiras, SP";9;29;31
"Pedras de Fogo, PB";5;53;31
"Rio Casca, MG";12;30;31
"Rio Tinto, PB";7;32;31
"Rolante, RS";6;21;31
"Rosário, MA";12;25;31
"Sairé, PE";6;29;31
"Santa Rita, MA";11;29;31
"Santaluz, BA";8;31;31
"Santo Ângelo, RS";27;40;31
"São Paulo de Olivença, AM";7;16;31
"Serraria, PB";8;26;31
"Sítio d'Abadia, GO";NA;NA;31
"Sonora, MS";24;30;31
"Tanabi, SP";22;32;31
"Taquari, RS";18;21;31
"Tejuçuoca, CE";14;26;31
"Varre-Sai, RJ";NA;11;31
"Alto Alegre, RR";13;7;30
"Alto Piquiri, PR";20;35;30
"Amajari, RR";14;36;30
"Anaurilândia, MS";13;32;30
"Araras, SP";15;36;30
"Arês, RN";6;27;30
"Bady Bassitt, SP";6;30;30
"Banabuiú, CE";20;30;30
"Banzaê, BA";15;23;30
"Barra do Choça, BA";29;44;30
"Caçapava do Sul, RS";17;31;30
"Caetés, PE";9;27;30
"Cajari, MA";31;15;30
"Capela, AL";4;20;30
"Coaraci, BA";13;22;30
"Cruz das Almas, BA";NA;NA;30
"Estância Velha, RS";22;39;30
"Itabi, SE";10;23;30
"Itaocara, RJ";23;41;30
"Itapissuma, PE";4;14;30
"Jaciara, MT";33;32;30
"Jucati, PE";5;28;30
"Lucena, PB";6;32;30
"Machados, PE";4;11;30
"Manaíra, PB";1;11;30
"Marcelândia, MT";15;26;30
"Mimoso do Sul, ES";29;31;30
"Miranda, MS";49;37;30
"Mirassol, SP";20;28;30
"Morro do Chapéu, BA";31;49;30
"Nova Granada, SP";14;19;30
"Paranaiguara, GO";6;33;30
"Paudalho, PE";1;24;30
"Pedro do Rosário, MA";15;42;30
"Penaforte, CE";14;15;30
"Perolândia, GO";5;29;30
"Pirangi, SP";11;32;30
"Presidente Epitácio, SP";5;12;30
"Presidente Vargas, MA";9;26;30
"Quijingue, BA";18;32;30
"Reriutaba, CE";19;26;30
"Riacho das Almas, PE";NA;NA;30
"Ribeirão do Pinhal, PR";8;9;30
"Rio Grande da Serra, SP";26;29;30
"Rosário do Catete, SE";30;22;30
"Saldanha Marinho, RS";5;13;30
"Salgado, SE";6;40;30
"Saloá, PE";4;16;30
"Santa Brígida, BA";6;25;30
"Santo Estêvão, BA";22;25;30
"São Domingos, BA";8;28;30
"São José do Egito, PE";10;28;30
"São Paulo do Potengi, RN";11;28;30
"São Raimundo Nonato, PI";15;34;30
"Serra Dourada, BA";27;29;30
"Sertaneja, PR";5;16;30
"Sertãozinho, PB";7;14;30
"Silvânia, GO";9;18;30
"Sítio do Quinto, BA";6;35;30
"Ubajara, CE";20;23;30
"Várzea Alegre, CE";18;28;30
"Viçosa, AL";12;21;30
"Xambioá, TO";2;26;30
"Álvares Machado, SP";14;24;29
"Anicuns, GO";6;26;29
"Antonina, PR";13;22;29
"Baía Formosa, RN";7;23;29
"Barra do Turvo, SP";8;26;29
"Barra Velha, SC";9;23;29
"Barreirinha, AM";18;37;29
"Bodó, RN";11;28;29
"Bom Jesus do Tocantins, PA";32;29;29
"Butiá, RS";33;34;29
"Cabo Verde, MG";4;27;29
"Cacimba de Dentro, PB";10;21;29
"Cairu, BA";16;36;29
"Camocim de São Félix, PE";4;15;29
"Campo Limpo Paulista, SP";16;34;29
"Catolé do Rocha, PB";6;22;29
"Centro do Guilherme, MA";10;25;29
"Congo, PB";7;25;29
"Corrente, PI";12;31;29
"Cristinápolis, SE";13;19;29
"Cururupu, MA";7;18;29
"Desterro, PB";5;23;29
"Diamantino, MT";8;20;29
"Dona Inês, PB";14;24;29
"Floresta, PE";11;45;29
"Fortim, CE";26;37;29
"Guajará-Mirim, RO";NA;10;29
"Iati, PE";7;10;29
"Ibirapitanga, BA";19;33;29
"Ibiúna, SP";NA;22;29
"Igaci, AL";3;20;29
"Ipixuna do Pará, PA";5;8;29
"Ipixuna, AM";4;14;29
"Itaobim, MG";14;36;29
"Itapuranga, GO";18;21;29
"Itarumã, GO";28;26;29
"Jateí, MS";11;23;29
"Juara, MT";15;33;29
"Jucuruçu, BA";12;27;29
"Juruá, AM";4;23;29
"Jussara, GO";20;18;29
"Lagoa dos Gatos, PE";NA;NA;29
"Landri Sales, PI";8;24;29
"Luís Correia, PI";7;25;29
"Macaparana, PE";6;28;29
"Mamanguape, PB";7;22;29
"Maracanã, PA";16;40;29
"Mata Grande, AL";4;15;29
"Milagres, CE";35;41;29
"Nazaré Paulista, SP";NA;21;29
"Nova Olinda do Maranhão, MA";3;9;29
"Orobó, PE";6;13;29
"Ourém, PA";26;26;29
"Pavão, MG";12;28;29
"Pedra Branca do Amapari, AP";10;16;29
"Pirapozinho, SP";6;21;29
"Pires do Rio, GO";18;34;29
"Pires Ferreira, CE";29;21;29
"Pombos, PE";3;14;29
"Ponto Belo, ES";15;34;29
"Poranga, CE";12;23;29
"Porto Real do Colégio, AL";20;39;29
"Quirinópolis, GO";2;60;29
"Regeneração, PI";10;22;29
"Riachão do Jacuípe, BA";34;25;29
"Santana do São Francisco, SE";13;12;29
"São João da Fronteira, PI";9;17;29
"Senador Rui Palmeira, AL";9;13;29
"Sirinhaém, PE";6;31;29
"Sobradinho, BA";4;19;29
"Sucupira do Riachão, MA";10;26;29
"Touros, RN";10;25;29
"Três Barras, SC";10;52;29
"Ubaitaba, BA";5;10;29
"Uruçuí, PI";22;37;29
"Adustina, BA";8;4;28
"Afonso Bezerra, RN";12;21;28
"Alta Floresta, MT";37;43;28
"Andorinha, BA";9;28;28
"Araporã, MG";21;17;28
"Arataca, BA";5;26;28
"Atilio Vivacqua, ES";6;28;28
"Baixa Grande, BA";14;18;28
"Belo Oriente, MG";15;29;28
"Bom Jardim, RJ";24;32;28
"Brejinho, RN";13;22;28
"Buerarema, BA";10;30;28
"Candelária, RS";11;27;28
"Caracol, MS";17;29;28
"Caridade, CE";26;27;28
"Carnaubal, CE";30;37;28
"Comodoro, MT";11;23;28
"Corumbiara, RO";21;35;28
"Cravinhos, SP";8;24;28
"Diamante D'Oeste, PR";NA;9;28
"Eldorado do Sul, RS";13;29;28
"Farias Brito, CE";15;23;28
"Garibaldi, RS";5;15;28
"Gilbués, PI";10;26;28
"Herval d'Oeste, SC";NA;12;28
"Içara, SC";15;35;28
"Inhapi, AL";NA;22;28
"Ipanguaçu, RN";17;29;28
"Ipaporanga, CE";9;20;28
"Itajuípe, BA";5;13;28
"Junqueiro, AL";54;35;28
"Lagoa Seca, PB";10;15;28
"Mãe d'Água, PB";NA;NA;28
"Mafra, SC";20;32;28
"Malhador, SE";11;23;28
"Mandaguaçu, PR";12;16;28
"Mandirituba, PR";10;15;28
"Manga, MG";7;28;28
"Maracajá, SC";8;21;28
"Marilândia, ES";13;20;28
"Matupá, MT";18;28;28
"Mocajuba, PA";8;18;28
"Nioaque, MS";17;22;28
"Nova América, GO";5;10;28
"Nova Tebas, PR";15;22;28
"Otacílio Costa, SC";22;26;28
"Pariquera-Açu, SP";NA;15;28
"Paulo Ramos, MA";10;25;28
"Pimenteiras, PI";9;20;28
"Planalto, BA";6;43;28
"Redenção do Gurguéia, PI";23;20;28
"Rio dos Índios, RS";NA;NA;28
"Rondon, PR";9;29;28
"Santa Branca, SP";6;21;28
"Santa Luzia, BA";18;25;28
"Santo Anastácio, SP";22;37;28
"São Gonçalo do Abaeté, MG";11;20;28
"São Gonçalo do Rio Abaixo, MG";20;28;28
"São João do Cariri, PB";8;25;28
"São Luís do Curu, CE";17;36;28
"São Sebastião do Paraíso, MG";17;25;28
"Serra do Navio, AP";2;10;28
"Serrita, PE";7;25;28
"Tabira, PE";8;27;28
"Triunfo, RS";13;31;28
"Valente, BA";7;32;28
"Alcinópolis, MS";7;31;27
"Alfredo Chaves, ES";9;32;27
"Alto Araguaia, MT";18;18;27
"Anadia, AL";7;21;27
"Angicos, RN";11;43;27
"Aracatu, BA";11;25;27
"Arapoti, PR";11;22;27
"Araripe, CE";33;25;27
"Aratuba, CE";10;26;27
"Ariquemes, RO";14;44;27
"Autazes, AM";6;20;27
"Baturité, CE";15;25;27
"Belém do São Francisco, PE";NA;NA;27
"Bocaiúva do Sul, PR";3;16;27
"Buriti dos Lopes, PI";NA;NA;27
"Buritirama, BA";16;17;27
"Caçu, GO";7;36;27
"Cafelândia, SP";4;23;27
"Camapuã, MS";11;40;27
"Canhotinho, PE";12;19;27
"Capivari de Baixo, SC";13;29;27
"Capoeiras, PE";5;25;27
"Carangola, MG";18;21;27
"Cerquilho, SP";7;20;27
"Chapadão do Céu, GO";9;16;27
"Cidade Gaúcha, PR";7;27;27
"Cidade Ocidental, GO";10;22;27
